0.0000		3474393
0.1000		3473808
0.2000		3474222
0.3000		3472567
0.4000		3474075
0.5000		3474178
0.6000		3475353
0.7000		3475609
0.8000		3474805
0.9000		3475196
1.0000		3474280
1.1000		3473900
1.2000		3473668
1.3000		3473007
1.4000		3473016
1.5000		3475049
1.6000		3476026
1.7000		3475545
1.8000		3474948
1.9000		3475254
2.0000		3475331
2.1000		3472880
2.2000		3473463
2.3000		3473829
2.4000		3472973
2.5000		3473579
2.6000		3475160
2.7000		3476032
2.8000		3475746
2.9000		3475555
3.0000		3475536
3.1000		3474655
3.2000		3473879
3.3000		3473188
3.4000		3472744
3.5000		3474441
3.6000		3475601
3.7000		3475225
3.8000		3474899
3.9000		3475875
4.0000		3474739
4.1000		3473605
4.2000		3473272
4.3000		3473883
4.4000		3473566
4.5000		3472819
4.6000		3474168
4.7000		3476041
4.8000		3476127
4.9000		3475290
5.0000		3475374
5.1000		3474606
5.2000		3473374
5.3000		3473518
5.4000		3474139
5.5000		3472782
5.6000		3474894
5.7000		3475762
5.8000		3474320
5.9000		3475631
6.0000		3475788
6.1000		3474659
6.2000		3473755
6.3000		3473638
6.4000		3473576
6.5000		3472097
6.6000		3473525
6.7000		3475227
6.8000		3475006
6.9000		3475505
7.0000		3474627
7.1000		3475594
7.2000		3474085
7.3000		3473694
7.4000		3473812
7.5000		3473607
7.6000		3473300
7.7000		3474894
7.8000		3474824
7.9000		3475306
8.0000		3474938
8.1000		3474543
8.2000		3473482
8.3000		3472385
8.4000		3472428
8.5000		3472348
8.6000		3472914
8.7000		3475188
8.8000		3474632
8.9000		3474802
9.0000		3475466
9.1000		3475597
9.2000		3472816
9.3000		3473637
9.4000		3472859
9.5000		3472586
9.6000		3472680
9.7000		3474059
9.8000		3475655
9.9000		3476007
10.0000		3475102
10.1000		3475253
10.2000		3473948
10.3000		3472604
10.4000		3472347
10.5000		3472356
10.6000		3473339
10.7000		3474680
10.8000		3475271
10.9000		3474777
11.0000		3475061
11.1000		3474935
11.2000		3474199
11.3000		3474244
11.4000		3473920
11.5000		3473427
11.6000		3472919
11.7000		3473447
11.8000		3474756
11.9000		3475209
12.0000		3475004
12.1000		3475236
12.2000		3474979
12.3000		3472867
12.4000		3474268
12.5000		3473359
12.6000		3472825
12.7000		3472962
12.8000		3474380
12.9000		3475520
13.0000		3475495
13.1000		3475342
13.2000		3474845
13.3000		3473623
13.4000		3473987
13.5000		3473473
13.6000		3472815
13.7000		3473800
13.8000		3473665
13.9000		3474090
14.0000		3475642
14.1000		3475948
14.2000		3474663
14.3000		3474308
14.4000		3473593
14.5000		3472834
14.6000		3473193
14.7000		3472865
14.8000		3474697
14.9000		3475262
