0.0000		415903
0.2000		415580
0.4000		416469
0.6000		416765
0.8000		416330
1.0000		416881
1.2000		416304
1.4000		416244
1.6000		415586
1.8000		415555
2.0000		415946
2.2000		414921
2.4000		415488
2.6000		416219
2.8000		416075
3.0000		414772
3.2000		415867
3.4000		414775
3.6000		415991
3.8000		415842
4.0000		416134
4.2000		414798
4.4000		415220
4.6000		414797
4.8000		415962
5.0000		414697
5.2000		415847
5.4000		415358
5.6000		415822
5.8000		416318
6.0000		415810
6.2000		415216
6.4000		414370
6.6000		415050
6.8000		414360
7.0000		415282
7.2000		414763
7.4000		415936
7.6000		415835
7.8000		415424
8.0000		414731
8.2000		414956
8.4000		414844
8.6000		414902
8.8000		418042
9.0000		414821
9.2000		415824
9.4000		415042
9.6000		416239
9.8000		414921
10.0000		414478
10.2000		414838
10.4000		415092
10.6000		414602
10.8000		415917
11.0000		415255
11.2000		415185
11.4000		414390
11.6000		414338
11.8000		415516
12.0000		415315
12.2000		415134
12.4000		414857
12.6000		413999
12.8000		415802
13.0000		414463
13.2000		414618
13.4000		414367
13.6000		414309
13.8000		414903
14.0000		415116
14.2000		415193
14.4000		415296
14.6000		414441
14.8000		414630
